id,amount,sku_external_id,supplier_article,warehouse_name,quantityFull,in_way_to_client,in_way_from_client,techSize,price,discount,warehouse_id,product_id,created_at,updated_at
17,15,OZN937455317,AF00191INT,Тула,15,0,0,0,1251.00,76,1,220,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
19,75,OZN1052821704,TRANAF00270INT,Краснодар,75,0,0,0,1201.00,75,2,207,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
18,57,OZN1054067705,AF00285INT,Электросталь,57,0,0,0,1430.00,79,3,262,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
63,27,OZN1237278664,AF00390INT,Казань,28,1,0,0,1335.00,70,4,140,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:05.000000Z
11,248,OZN885958085,AF00174INT,Электросталь,267,19,0,0,1335.00,73,3,71,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:06.000000Z
14,1,OZN824133867,AF00109INT,Невинномысск,1,0,0,0,1805.00,81,12,193,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
15,1,OZN1218650283,TRANAF00375INT,Казань,1,0,0,0,930.00,68,4,,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
21,37,OZN756676696,AF0012INT,Краснодар,37,0,0,0,1113.00,73,2,213,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
16,2,OZN1077597764,AF00316INT,Казань,2,0,0,0,1400.00,76,4,247,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
8,0,2026721568627,22SEAS001Z322SEAS001Z3-cvet,Коледино,1,0,1,0,1200.00,62,5,,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
22,4,OZN1085769417,AF00318INT,Электросталь,4,0,0,0,1667.00,82,3,237,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
23,31,OZN1074760937,TRANAF00301INT,Краснодар,31,0,0,0,1201.00,75,2,226,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
24,37,OZN838395182,AF00117INT,Краснодар,37,0,0,0,1667.00,82,2,241,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
25,51,OZN1085769417,AF00318INT,Краснодар,51,0,0,0,1667.00,82,2,237,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
26,82,OZN756676696,AF0012INT,Электросталь,82,0,0,0,1113.00,73,3,213,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
28,36,OZN1237278664,AF00390INT,Краснодар,36,0,0,0,1580.00,81,2,140,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
29,1,OZN1015812749,AF00234INT,Атакент,1,0,0,0,1251.00,76,14,138,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
30,28,OZN1008597076,AF00218INT,Краснодар,28,0,0,0,1365.00,78,2,200,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
32,91,OZN937482109,AF00192INT,Электросталь,91,0,0,0,1430.00,79,3,215,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
33,12,OZN1054067705,AF00285INT,Казань,12,0,0,0,1430.00,79,4,262,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
34,1,OZN844680868,TRANAF00126INT,Белая дача,1,0,0,0,1735.00,74,6,177,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
36,23,OZN1108964387,AF00328INT,Тула,23,0,0,0,1365.00,80,1,253,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
37,1,OZN1416002666,AF00434INT,Рязань (Тюшевское),1,0,0,0,1305.00,77,19,225,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
39,42,OZN1017612735,TRANAF00238INT,Краснодар,42,0,0,0,1667.00,82,2,259,2024-07-27T18:47:26.000000Z,2024-07-28T20:01:02.000000Z
